ASCII Code,Binary Signal
64428,1
32714,0
75036,1
16234,0
76468,0
73314,0
23714,0
95802,0
53530,0
59232,0
22522,1
11699,0
40949,0
19429,0
63688,0
82876,0
83306,1
17948,1
88729,0
41137,0
80832,0
53633,1
44207,0
42536,0
45946,0
65959,0
17105,0
31855,0
27653,0
38977,0
73427,0
95775,1
74363,0
26984,0
46949,0
50808,0
62660,1
61190,0
56370,1
54570,0
87949,0
10141,0
26878,0
19884,0
89522,0
75185,1
54429,0
17197,0
10529,0
63073,0
10659,0
82961,0
12906,0
56951,0
76600,0
67133,0
79492,0
84557,0
42259,0
65630,0
55649,0
88496,0
90100,1
95683,0
48726,0
14137,1
76764,1
20466,0
75165,0
66012,0
82753,0
57829,0
80494,0
14843,0
53567,0
33342,1
10381,1
54446,1
85188,0
61358,0
91972,0
95787,0
10615,0
39944,0
76846,0
62652,0
32544,0
45698,0
23729,1
52191,0
17831,0
27973,0
51644,0
82586,0
91257,0
43629,0
12292,1
57574,0
91284,0
46229,0
73806,0
30340,0
38656,0
57296,0
35784,0
35132,1
26536,1
13443,0
21175,0
88825,0
94220,1
29032,0
29286,0
50158,0
53703,1
90083,0
12488,0
49411,0
59490,0
21927,0
48949,0
69812,1
79634,0
63978,0
29854,1
70803,1
43674,0
29707,0
11925,0
29590,1
88414,1
73456,0
62999,1
46236,0
32652,0
38277,0
15946,0
78815,0
35144,0
16519,1
18728,1
60724,0
56674,1
24192,0
81454,0
86271,0
50502,0
58679,0
47298,1
90135,0
62583,0
19162,0
20757,0
28758,1
45470,1
37723,0
20328,1
56066,0
56239,0
46470,0
32501,0
49934,0
23279,1
40224,1
38791,0
41080,0
60633,0
28079,0
32396,0
54654,0
15704,0
21209,0
69369,1
66201,0
16730,1
40915,0
92153,0
21519,0
31933,0
98168,0
36194,1
81158,0
72418,0
30075,0
43520,0
53365,1
81648,0
60711,1
90436,0
24021,0
71119,0
83452,0
68461,0
32433,0
98590,0
34329,0
83017,0
10126,0
39949,0
57743,1
43222,0
31224,0
34100,0
72225,1
71189,0
55784,1
33250,0
94916,0
95212,1
55955,0
40267,0
82431,0
38336,0
66939,0
85487,0
28592,0
79918,0
58829,1
13173,0
45317,0
51210,0
92632,0
44090,0
38798,0
75358,0
28310,0
63049,0
88190,0
96844,0
49346,0
38290,0
98997,0
87474,0
20423,0
61345,0
63790,0
53311,0
95417,0
64029,1
29157,0
84497,0
31164,0
89825,0
65113,0
91997,0
35968,0
60248,0
29589,0
47913,0
32922,0
79723,0
37601,0
45982,1
20573,0
42798,0
47107,1
41647,1
66107,0
60878,0
51173,0
57031,0
81486,1
81615,0
58242,0
80947,0
54029,0
60479,0
30932,0
97570,0
42371,0
23726,0
17243,1
52911,0
52623,0
61167,0
75570,1
29434,0
33832,0
31078,0
20307,1
48877,0
84301,0
81530,0
46623,0
25408,0
62469,0
85974,0
79541,0
86861,0
80275,0
21367,0
47565,0
64022,1
41778,0
82354,0
53772,0
75280,0
21762,1
78509,0
49502,0
39800,0
21847,0
90109,0
25688,1
75118,0
72107,0
25432,1
49758,0
98858,0
90429,0
34718,0
35807,0
73821,0
35834,0
85434,0
60946,0
14459,1
99441,0
36355,0
59543,0
44346,0
98901,1
85481,0
37576,1
77759,0
17441,1
87904,0
71259,0
80628,0
35566,0
10028,0
77703,0
23298,1
46257,1
69101,1
85771,0
34287,0
50723,0
88061,0
50951,1
93094,1
28636,1
98447,1
18033,0
88250,0
35902,0
35853,1
12945,1
91102,1
67021,0
96347,0
10908,0
59562,0
47781,0
36319,0
42371,0
73449,1
29069,0
62805,0
22802,0
54340,0
39934,0
19832,1
83519,0
89618,0
97526,0
13659,1
66538,0
97715,0
51571,0
36328,0
96341,0
35880,0
72161,0
38776,0
21959,0
88868,0
19092,0
43283,0
49473,1
25373,1
41024,0
67838,0
16361,0
36102,1
77331,0
32969,0
98449,0
65845,0
65429,0
29172,1
25445,0
19245,1
49792,1
11350,0
84358,0
32401,0
25542,0
82471,0
89203,1
42196,0
55555,1
73382,0
92512,1
87334,0
13750,0
73234,0
31854,0
54812,0
16777,0
91499,0
39117,1
29018,0
67258,0
89884,0
84213,0
99489,1
56967,0
44549,0
39837,0
19455,0
78386,0
84694,0
37371,0
20166,0
12001,0
22909,0
74387,0
43735,0
81388,0
45208,0
98284,1
62921,0
43905,0
71986,0
58687,0
45490,0
11171,0
58492,0
17363,0
77524,0
41147,1
17805,1
63543,1
89937,0
98825,0
25223,1
48772,0
77861,0
12421,0
23101,0
38456,0
10001,1
13760,0
43881,0
79226,0
32794,0
71861,0
90262,0
60384,0
42532,0
58353,1
11077,0
25988,0
16126,0
23250,1
31273,0
43817,0
73616,0
62223,0
24757,1
85037,0
13845,0
23461,1
23701,0
93573,0
35428,0
70174,0
46896,0
53875,1
36154,0
36096,0
81815,0
88548,1
43998,1
47799,0
77354,0
52923,0
85650,0
68611,0
35129,0
58748,0
14181,0
64172,0
29870,0
12156,0
80376,0
27525,0
98043,0
92266,0
12460,0
26401,0
56996,0
96547,0
97057,1
77548,0
65711,0
88275,0
17502,0
34775,0
81865,0
34115,0
77181,0
28927,0
98133,0
28667,0
89696,0
67746,1
86573,0
98411,1
28715,0
16222,0
95703,0
51892,0
29432,0
93249,1
10151,0
11386,1
57383,0
39996,0
37586,0
95660,0
14251,1
80223,0
69536,0
63309,0
84924,0
50799,0
65293,0
14618,1
57843,0
79914,0
96764,0
78402,1
15009,0
15647,1
42861,0
53344,0
19528,0
24257,0
55052,0
16315,0
43205,1
81867,1
89050,0
53779,0
66818,0
58657,0
23478,1
88138,0
70746,0
71253,0
74149,0
12710,0
62126,0
44957,0
89381,1
67841,0
73697,0
93819,1
72110,0
95150,0
43795,0
15566,0
83371,1
52121,0
47931,0
42413,0
65720,0
54096,0
64899,0
78682,0
21986,0
91000,0
95147,0
85107,0
63639,0
85052,0
99874,1
70373,1
63191,0
49691,0
26130,1
11690,0
24382,0
98881,1
23215,0
30871,0
73222,0
83450,0
27443,0
62641,1
59719,1
76835,0
12054,0
59420,0
21731,0
10641,0
57488,0
51617,0
65874,0
27652,0
32140,1
36253,0
80469,0
27400,0
81011,0
30339,0
35725,0
25157,1
53788,0
65713,0
16952,1
21484,0
58132,0
34896,0
86884,0
43597,0
83543,0
74654,0
98691,0
29719,0
70643,0
81827,0
14410,0
77024,0
21909,0
18232,0
21529,0
33649,0
83576,0
16690,0
87339,0
78999,0
59483,0
40973,0
87954,0
67423,0
97567,0
38907,1
73761,1
72084,1
94186,0
74094,0
50964,0
89137,0
38697,0
32838,0
23338,0
35475,0
57407,1
51589,0
91036,0
65143,0
11395,1
56841,0
21782,0
49853,0
54401,1
32509,0
82222,0
61336,0
22756,0
10101,1
63537,0
60745,1
42837,0
43728,0
30844,0
24480,0
94989,0
23406,0
19526,0
84279,1
92109,0
44032,0
59807,0
76998,0
24187,1
33956,1
14881,0
32675,0
22740,0
43173,1
30782,0
95932,1
91337,0
26100,0
65127,1
52423,0
81726,0
81646,0
57503,1
63664,0
97744,0
59828,1
52987,1
14672,0
49674,1
91858,0
48125,0
93259,0
40546,0
31782,0
87783,0
74970,1
46062,0
80786,0
13323,0
46953,0
50848,0
82374,0
30168,0
85004,1
38355,0
48725,0
33626,0
82599,1
96291,0
86807,0
67430,1
52666,0
47843,0
94998,0
44632,0
88990,0
77632,0
14413,0
95945,0
99025,0
59193,0
84555,1
39080,0
66825,1
21089,0
86635,1
79959,0
88049,1
20637,0
12883,1
29580,0
70530,0
93582,0
57017,0
24442,0
24769,1
97798,0
65176,0
30062,0
76530,0
43186,0
45294,0
34368,0
37574,0
17421,0
65908,0
97633,0
29664,0
26236,1
56836,1
